Feature,Mean_Absolute_SHAP
TenureGroup_Long-term,0.04486358902093671
MonthlyCharges,0.044517926167085234
InternetService_Fiber optic,0.038250881163794624
ServiceRiskIndicator,0.03395971697841183
ElectronicCheck,0.03221728825569243
NoOnlineSecurity,0.027192759097142173
PaymentMethod_Electronic check,0.025902455441494835
IsLongTermCustomer,0.02183245779087733
TechSupport_No internet service,0.021116305473287234
MonthToMonthContract,0.017558798092254288
IsNewCustomer,0.016525333879854425
ChargePerTenure,0.01510450232168776
TenureGroup_New,0.014263301057796031
IsFiberCustomer,0.012265179853349503
tenure,0.00923901830382858
Contract_Two year,0.008448336314212792
NoTechSupport,0.004659870073208801
Contract_One year,0.00405670068881355
TotalCharges,0.003362422533051987
OnlineBackup_No internet service,0.0029747796310360054
