iter	RMSE
0	64594.45244
1	62882.87612
2	61144.47178
3	59616.18808
4	58197.41496
5	56764.16679
6	55314.08604
7	53904.83057
8	52531.25123
9	51112.95026
10	49938.72771
11	48662.30761
12	47462.02201
13	46326.01599
14	45209.90645
15	44161.1313
16	43117.34127
17	42117.35148
18	41198.56102
19	40265.08698
20	39380.753
21	38577.09717
22	37801.118
23	37082.30275
24	36392.63604
25	35708.82915
26	34986.938
27	34336.90994
28	33693.0438
29	33103.96013
30	32550.15977
31	32007.7006
32	31431.26698
33	30905.02497
34	30460.40599
35	29962.42268
36	29499.80619
37	29054.96644
38	28668.32718
39	28294.9904
40	27959.481
41	27610.18273
42	27294.56354
43	27006.01168
44	26686.05933
45	26387.06382
46	26128.50145
47	25860.83651
48	25586.72939
49	25321.18481
50	25108.25952
51	24878.87438
52	24614.80849
53	24394.20372
54	24185.30526
55	23979.36918
56	23817.86831
57	23621.73532
58	23436.52673
59	23216.8625
60	23017.90847
61	22833.2188
62	22660.53167
63	22493.46431
64	22319.44497
65	22151.54098
66	21985.26116
67	21814.36013
68	21662.8361
69	21546.66687
70	21410.88576
71	21257.89221
72	21090.85141
73	20944.2086
74	20785.80538
75	20643.7704
76	20536.28955
77	20459.67126
78	20351.01746
79	20229.42811
80	20133.11679
81	20024.95899
82	19920.68602
83	19802.69818
84	19711.67594
85	19626.99579
86	19538.2582
87	19461.48154
88	19376.35442
89	19303.87282
90	19215.23175
91	19141.7943
92	19069.81
93	18977.61725
94	18884.33893
95	18805.18232
96	18721.61616
97	18644.47845
98	18567.38215
99	18508.82951
100	18444.9423
101	18377.56497
102	18317.77875
103	18277.05847
104	18203.34909
105	18144.29054
106	18094.01441
107	18017.06
108	17966.24951
109	17902.77875
110	17839.91678
111	17782.27214
112	17725.7544
113	17678.81417
114	17619.88496
115	17549.71039
116	17501.85754
117	17446.61038
118	17400.56984
119	17351.02639
120	17309.78868
121	17267.54131
122	17229.22433
123	17190.02702
124	17132.00456
125	17088.75911
126	17062.62933
127	17017.43811
128	16972.15827
129	16939.74428
130	16887.01196
131	16848.08484
132	16797.73703
133	16757.88937
134	16690.73914
135	16648.55996
136	16601.13904
137	16553.63983
138	16509.70576
139	16463.17947
140	16429.90747
141	16379.20013
142	16351.1329
143	16310.02326
144	16284.7134
145	16233.32701
146	16193.86278
147	16160.23444
148	16110.53525
149	16068.74984
150	16037.99361
151	15994.65313
152	15953.37381
153	15915.79988
154	15875.53055
155	15833.34425
156	15804.72046
157	15774.98433
158	15748.45389
159	15714.06666
160	15674.4404
161	15666.56897
162	15638.05555
163	15598.90531
164	15561.36944
165	15535.02953
166	15517.995
167	15495.83059
168	15475.78641
169	15459.80805
170	15427.12841
171	15409.26809
172	15381.6685
173	15357.99681
174	15323.86963
175	15278.82068
176	15248.4415
177	15232.76654
178	15216.56776
179	15184.80212
180	15157.75183
181	15124.61659
182	15098.17699
183	15086.9673
184	15077.37196
185	15056.14992
186	15043.43547
187	15011.07708
188	14980.90122
189	14950.78898
190	14931.34101
191	14911.11367
192	14902.39297
193	14889.62951
194	14858.4745
195	14835.17796
196	14796.8019
197	14792.91076
198	14765.80717
199	14736.78241
200	14711.31798
201	14688.74089
202	14681.95413
203	14660.88137
204	14646.30934
205	14638.46633
206	14605.37497
207	14565.45821
208	14543.475
209	14535.08887
210	14523.02989
211	14488.85939
212	14474.35807
213	14460.48793
214	14438.95013
215	14435.15186
216	14403.27377
217	14399.38799
218	14392.88681
219	14366.58774
220	14331.98502
221	14301.07962
222	14296.45535
223	14284.28466
224	14267.15994
225	14244.17618
226	14229.59353
227	14222.58752
228	14190.5992
229	14184.37715
230	14180.9643
231	14156.04477
232	14145.07277
233	14113.71043
234	14092.84571
235	14088.62489
236	14056.53853
237	14052.58143
238	14013.2506
239	13998.24177
240	13984.92895
241	13958.58126
242	13933.18696
243	13906.6319
244	13881.78296
245	13846.46139
246	13840.7517
247	13808.46119
248	13781.34683
249	13762.40893
250	13743.03475
251	13738.36324
252	13734.08488
253	13710.94214
254	13686.1648
255	13655.31313
256	13638.14617
257	13612.21397
258	13589.70165
259	13567.25506
260	13537.20485
261	13513.03845
262	13484.65108
263	13467.40169
264	13452.76388
265	13433.29015
266	13410.52914
267	13378.38971
268	13359.02773
269	13328.42693
270	13303.87563
271	13280.24454
272	13264.35342
273	13244.83791
274	13228.66942
275	13211.78967
276	13191.91703
277	13158.39787
278	13131.27958
279	13105.43036
280	13084.1592
281	13063.83978
282	13042.31386
283	13038.6546
284	13021.53028
285	13015.60237
286	12991.83457
287	12968.67187
288	12939.81776
289	12916.49487
290	12899.67742
291	12879.12078
292	12847.62006
293	12835.96817
294	12808.68852
295	12784.86601
296	12760.82235
297	12739.75487
298	12711.10854
299	12694.99913
300	12678.30865
301	12646.40098
302	12629.74303
303	12614.16036
304	12587.1043
305	12567.44361
306	12552.60673
307	12533.71434
308	12511.25276
309	12484.92432
310	12464.17184
311	12461.58634
312	12437.99253
313	12414.99661
314	12394.05673
315	12372.54691
316	12357.51872
317	12333.34933
318	12313.74217
319	12289.65715
320	12273.64665
321	12271.69881
322	12251.99755
323	12236.06036
324	12217.91138
325	12191.42133
326	12169.54672
327	12133.26922
328	12118.98227
329	12102.50554
330	12077.20459
331	12066.05858
332	12043.56536
333	12001.46482
334	11985.48752
335	11982.2066
336	11959.18384
337	11941.64868
338	11919.65462
339	11894.34042
340	11892.58703
341	11864.3918
342	11840.92099
343	11816.94144
344	11799.28207
345	11797.53533
346	11781.63538
347	11767.72045
348	11752.94018
349	11731.36815
350	11718.50327
351	11701.52407
352	11675.1564
353	11656.33779
354	11631.29821
355	11614.74324
356	11593.85194
357	11574.84709
358	11551.12358
359	11549.39777
360	11532.34271
361	11516.06613
362	11514.48935
363	11477.15463
364	11451.90371
365	11433.01375
366	11415.5829
367	11396.14551
368	11393.28387
369	11382.52848
370	11374.76759
371	11345.88182
372	11333.01353
373	11331.52605
374	11303.52788
375	11287.76562
376	11279.96805
377	11250.66521
378	11236.23043
379	11225.45314
380	11206.51093
381	11197.2035
382	11170.35796
383	11151.88418
384	11143.34997
385	11127.79858
386	11114.3407
387	11095.98348
388	11083.99013
389	11070.49008
390	11034.00489
391	11015.09099
392	10981.94625
393	10969.76007
394	10941.45001
395	10934.93964
396	10918.53282
397	10900.84352
398	10899.37265
399	10890.02204
400	10869.32415
401	10853.66831
402	10852.12041
403	10845.63829
404	10834.34925
405	10813.84806
406	10795.61304
407	10778.1011
408	10775.76166
409	10758.21112
410	10733.17765
411	10719.73523
412	10708.75075
413	10707.41537
414	10693.07705
415	10685.14511
416	10675.96128
417	10655.17368
418	10640.98723
419	10626.42075
420	10615.37029
421	10597.8326
422	10570.57034
423	10546.55832
424	10527.85514
425	10508.87542
426	10487.77647
427	10480.3016
428	10463.72656
429	10455.52588
430	10442.74396
431	10412.27315
432	10389.59121
433	10376.91258
434	10369.14204
435	10343.94255
436	10330.94888
437	10325.50544
438	10301.38608
439	10296.67293
440	10274.70038
441	10259.17526
442	10242.89398
443	10224.22333
444	10211.09045
445	10200.11128
446	10189.61008
447	10178.72062
448	10162.44825
449	10151.51288
450	10129.01881
451	10114.64714
452	10101.27707
453	10094.20883
454	10079.33212
455	10059.6136
456	10045.97379
457	10028.01834
458	10025.75215
459	10008.33215
460	9996.44733
461	9989.615186
462	9979.051565
463	9960.944788
464	9944.879792
465	9939.357182
466	9926.94204
467	9907.328296
468	9902.337713
469	9901.172348
470	9890.560012
471	9888.604628
472	9866.468931
473	9854.803312
474	9834.220344
475	9805.66415
476	9799.361327
477	9786.485418
478	9774.839128
479	9757.595249
480	9754.547441
481	9735.699014
482	9717.304023
483	9692.419109
484	9677.800584
485	9661.923936
486	9651.485638
487	9640.673265
488	9625.29219
489	9612.369432
490	9603.729319
491	9593.969582
492	9580.62694
493	9561.769269
494	9544.545164
495	9536.138915
496	9520.844671
497	9512.486564
498	9496.083979
499	9494.989343
500	9485.028592
501	9477.182163
502	9476.117844
503	9457.012075
504	9444.724504
505	9433.62364
506	9420.327246
507	9409.800096
508	9396.427294
509	9388.870882
510	9374.134847
511	9364.960755
512	9347.586837
513	9332.542155
514	9324.561499
515	9309.315369
516	9299.537828
517	9291.045455
518	9277.484451
519	9265.492609
520	9260.440201
521	9252.608735
522	9236.892492
523	9231.83237
524	9212.966903
525	9198.016168
526	9183.56918
527	9172.143899
528	9156.752131
529	9141.037942
530	9129.363868
531	9112.466642
532	9099.992486
533	9098.226033
534	9086.362198
535	9077.140996
536	9063.843792
537	9052.404719
538	9043.268421
539	9025.106398
540	9005.825667
541	9000.683896
542	8994.931751
543	8990.445067
544	8980.399674
545	8965.181269
546	8960.755539
547	8945.516023
548	8934.487248
549	8925.437754
550	8916.215107
551	8910.511826
552	8887.238407
553	8869.274317
554	8860.621736
555	8851.802488
556	8841.579858
557	8836.827252
558	8830.508217
559	8817.47015
560	8807.960369
561	8791.070769
562	8785.622441
563	8773.648468
564	8769.432847
565	8762.818272
566	8749.925346
567	8734.109515
568	8729.177151
569	8724.893513
570	8724.029624
571	8710.597538
572	8700.798924
573	8691.797177
574	8678.898458
575	8664.697509
576	8655.534635
577	8651.692322
578	8641.691731
579	8628.960097
580	8620.455781
581	8604.206062
582	8587.455275
583	8573.351378
584	8561.233535
585	8557.292378
586	8556.250431
587	8544.238638
588	8538.789211
589	8523.783229
590	8522.776566
591	8518.960691
592	8513.352301
593	8505.347915
594	8498.938747
595	8486.463058
596	8478.917747
597	8466.224766
598	8462.056977
599	8452.198523
600	8438.056414
601	8432.822568
602	8429.433426
603	8424.286332
604	8413.09754
605	8412.005611
606	8399.342816
607	8386.600895
608	8374.215665
609	8366.86954
610	8359.366105
611	8349.342845
612	8334.535522
613	8321.590936
614	8319.666556
615	8310.768873
616	8296.644306
617	8287.48334
618	8280.085652
619	8268.847679
620	8260.118601
621	8254.775373
622	8248.272279
623	8234.742459
624	8221.030603
625	8209.293591
626	8198.555577
627	8185.094947
628	8175.940428
629	8173.451921
630	8164.302801
631	8161.777655
632	8160.984286
633	8150.265277
634	8144.300928
635	8143.537723
636	8126.710134
637	8115.15351
638	8106.200499
639	8094.621789
640	8085.599325
641	8083.511587
642	8067.455844
