iter	Passed	Remaining
0	3	3407
1	6	3336
2	13	4390
3	17	4401
4	20	4130
5	23	3953
6	27	3842
7	31	3853
8	34	3747
9	36	3623
10	39	3530
11	42	3461
12	44	3386
13	48	3394
14	50	3333
15	53	3277
16	55	3226
17	58	3168
18	60	3127
19	63	3087
20	65	3049
21	68	3048
22	70	3014
23	73	2971
24	75	2938
25	77	2914
26	80	2892
27	82	2873
28	85	2876
29	88	2868
30	90	2842
31	93	2823
32	95	2805
33	98	2790
34	100	2779
35	103	2763
36	106	2776
37	108	2756
38	111	2740
39	113	2723
40	116	2713
41	118	2700
42	120	2689
43	123	2682
44	126	2678
45	128	2661
46	130	2649
47	132	2637
48	135	2627
49	137	2620
50	140	2620
51	144	2635
52	147	2628
53	149	2620
54	152	2616
55	154	2609
56	157	2600
57	159	2591
58	162	2593
59	165	2592
60	168	2587
61	170	2580
62	173	2577
63	175	2572
64	178	2566
65	181	2573
66	184	2572
67	187	2565
68	189	2560
69	192	2555
70	194	2549
71	198	2555
72	201	2560
73	204	2555
74	206	2550
75	209	2543
76	212	2542
77	214	2536
78	217	2532
79	220	2537
80	223	2533
81	225	2528
82	228	2523
83	230	2517
84	233	2512
85	236	2510
86	241	2529
87	243	2524
88	246	2519
89	248	2513
90	251	2508
91	253	2504
92	256	2499
93	259	2503
94	262	2497
95	264	2493
96	267	2488
97	269	2485
98	272	2482
99	275	2478
100	278	2483
101	281	2480
102	284	2478
103	287	2474
104	289	2469
105	292	2465
106	294	2461
107	298	2464
108	301	2460
109	303	2455
110	306	2452
111	308	2448
112	311	2443
113	314	2441
114	317	2443
115	320	2439
116	322	2434
117	325	2430
118	327	2426
119	330	2421
120	332	2416
121	336	2419
122	338	2416
123	341	2411
124	343	2407
125	346	2403
126	348	2398
127	351	2395
128	354	2395
129	357	2394
130	360	2389
131	362	2384
132	365	2381
133	367	2376
134	370	2372
135	373	2375
136	376	2372
137	379	2367
138	381	2363
139	384	2363
140	387	2361
141	390	2357
142	395	2369
143	398	2367
144	401	2365
145	403	2362
146	406	2357
147	408	2354
148	412	2354
149	415	2351
150	417	2348
151	420	2344
152	422	2340
153	425	2336
154	427	2332
155	431	2334
156	434	2334
157	437	2331
158	440	2327
159	442	2323
160	445	2319
161	447	2315
162	451	2316
163	454	2314
164	456	2310
165	459	2306
166	461	2303
167	464	2300
168	467	2296
169	470	2297
170	473	2294
171	476	2291
172	478	2287
173	481	2283
174	483	2280
175	486	2277
176	490	2279
177	492	2275
178	495	2272
179	498	2269
180	500	2265
181	503	2262
182	506	2260
183	509	2260
184	512	2257
185	515	2253
186	517	2249
187	520	2246
188	522	2242
189	525	2239
190	530	2245
191	533	2243
192	535	2239
193	538	2235
194	540	2232
195	543	2229
196	546	2228
197	549	2227
198	552	2223
199	554	2218
200	557	2215
201	559	2211
202	562	2207
203	565	2206
204	568	2204
205	570	2200
206	573	2196
207	576	2193
208	578	2189
209	581	2185
210	584	2186
211	587	2183
212	589	2179
213	592	2176
214	595	2173
215	598	2172
216	601	2172
217	614	2203
218	624	2227
219	631	2239
220	642	2266
221	650	2278
222	655	2283
223	658	2280
224	662	2281
225	666	2282
226	671	2287
227	675	2286
228	678	2282
229	681	2280
230	683	2276
231	686	2272
232	688	2267
233	691	2263
234	694	2259
235	696	2255
236	700	2253
237	702	2249
238	705	2245
239	707	2240
240	710	2236
241	712	2232
242	718	2237
243	720	2233
244	724	2231
245	726	2228
246	729	2223
247	732	2219
248	734	2215
249	737	2213
250	740	2209
251	742	2205
252	745	2200
253	747	2196
254	750	2192
255	753	2188
256	755	2184
257	759	2183
258	761	2179
259	764	2175
260	766	2171
261	769	2168
262	772	2165
263	776	2165
264	779	2162
265	781	2157
266	784	2154
267	787	2151
268	790	2147
269	792	2143
270	796	2141
271	799	2138
272	801	2134
273	804	2130
274	806	2127
275	809	2123
276	811	2118
277	815	2118
278	818	2114
279	820	2111
280	823	2107
281	826	2103
282	828	2099
283	831	2095
284	834	2094
285	837	2090
286	839	2086
287	842	2083
288	845	2079
289	847	2075
290	850	2072
291	853	2070
292	856	2066
293	859	2062
294	861	2059
295	864	2055
296	866	2051
297	869	2047
298	872	2045
299	875	2042
300	877	2038
301	880	2034
302	882	2030
303	885	2027
304	888	2023
305	891	2022
306	894	2019
307	897	2015
308	899	2012
309	903	2010
310	905	2006
311	909	2005
312	912	2002
313	914	1998
314	917	1995
315	919	1991
316	922	1987
317	925	1983
318	927	1980
319	930	1977
320	933	1974
321	935	1970
322	938	1966
323	940	1962
324	943	1959
325	945	1955
326	949	1953
327	951	1950
328	954	1946
329	957	1944
330	960	1941
331	962	1937
332	965	1934
333	968	1932
334	971	1928
335	974	1925
336	976	1921
337	979	1917
338	981	1914
339	984	1910
340	987	1908
341	990	1904
342	992	1901
343	995	1897
344	997	1893
345	1000	1890
346	1002	1886
347	1006	1885
348	1008	1881
349	1011	1877
350	1013	1874
351	1016	1870
352	1018	1867
353	1021	1863
354	1024	1861
355	1027	1859
356	1030	1855
357	1032	1851
358	1035	1848
359	1037	1844
360	1040	1841
361	1043	1839
362	1046	1835
363	1048	1832
364	1050	1828
365	1053	1824
366	1056	1821
367	1058	1818
368	1061	1814
369	1064	1812
370	1067	1809
371	1069	1805
372	1072	1802
373	1074	1798
374	1077	1795
375	1079	1791
376	1083	1790
377	1085	1786
378	1088	1783
379	1090	1779
380	1093	1776
381	1095	1772
382	1098	1769
383	1101	1766
384	1104	1763
385	1106	1760
386	1109	1757
387	1112	1754
388	1114	1750
389	1117	1747
390	1119	1743
391	1122	1741
392	1125	1737
393	1127	1734
394	1130	1730
395	1132	1727
396	1135	1723
397	1137	1721
398	1141	1719
399	1143	1715
400	1147	1713
401	1150	1710
402	1152	1707
403	1155	1704
404	1159	1703
405	1162	1701
406	1165	1698
407	1168	1695
408	1170	1691
409	1173	1688
410	1176	1685
411	1179	1683
412	1182	1680
413	1184	1676
414	1187	1673
415	1190	1670
416	1192	1667
417	1195	1664
418	1198	1662
419	1201	1659
420	1204	1656
421	1206	1653
422	1209	1649
423	1212	1646
424	1214	1643
425	1218	1641
426	1221	1638
427	1223	1635
428	1226	1632
429	1228	1628
430	1231	1625
431	1233	1622
432	1237	1619
433	1239	1617
434	1242	1613
435	1245	1610
436	1248	1607
437	1250	1604
438	1253	1601
439	1257	1599
440	1259	1596
441	1262	1593
442	1264	1590
443	1267	1587
444	1270	1584
445	1273	1581
446	1277	1580
447	1279	1577
448	1282	1573
449	1285	1570
450	1287	1567
451	1290	1564
452	1293	1562
453	1296	1559
454	1299	1556
455	1302	1553
456	1304	1550
457	1307	1547
458	1309	1543
459	1313	1542
460	1316	1539
461	1318	1535
462	1321	1532
463	1324	1529
464	1326	1526
465	1329	1523
466	1332	1521
467	1335	1518
468	1337	1514
469	1340	1511
470	1343	1508
471	1346	1505
472	1348	1502
473	1352	1500
474	1355	1497
475	1357	1494
476	1360	1492
477	1363	1489
478	1366	1485
479	1369	1483
480	1372	1480
481	1375	1477
482	1377	1474
483	1380	1471
484	1383	1468
485	1385	1465
486	1389	1463
487	1391	1460
488	1394	1457
489	1397	1454
490	1399	1451
491	1402	1448
492	1405	1445
493	1408	1442
494	1411	1439
495	1414	1436
496	1416	1433
497	1419	1430
498	1421	1427
499	1424	1424
500	1428	1422
501	1431	1419
502	1433	1416
503	1436	1413
504	1438	1410
505	1441	1407
506	1444	1404
507	1447	1402
508	1450	1399
509	1453	1396
510	1455	1393
511	1458	1390
512	1461	1387
513	1463	1384
514	1467	1381
515	1470	1378
516	1472	1375
517	1475	1372
518	1477	1369
519	1480	1366
520	1482	1363
521	1486	1360
522	1488	1358
523	1491	1354
524	1493	1351
525	1496	1348
526	1499	1345
527	1501	1342
528	1505	1340
529	1508	1337
530	1510	1334
531	1513	1331
532	1516	1328
533	1518	1325
534	1521	1322
535	1524	1320
536	1527	1316
537	1530	1313
538	1532	1310
539	1535	1308
540	1538	1304
541	1540	1301
542	1544	1299
543	1547	1296
544	1549	1293
545	1553	1291
546	1555	1288
547	1558	1285
548	1561	1282
549	1564	1280
550	1567	1276
551	1569	1273
552	1572	1270
553	1574	1267
554	1577	1264
555	1581	1262
556	1583	1259
557	1586	1256
558	1589	1253
559	1591	1250
560	1594	1247
561	1596	1244
562	1599	1241
563	1602	1238
564	1605	1235
565	1607	1232
566	1610	1229
567	1612	1226
568	1615	1223
569	1618	1220
570	1621	1218
571	1624	1215
572	1626	1212
573	1629	1209
574	1631	1205
575	1634	1202
576	1637	1200
577	1641	1198
578	1644	1195
579	1646	1192
580	1649	1189
581	1651	1186
582	1654	1183
583	1657	1180
584	1660	1177
585	1663	1174
586	1665	1171
587	1668	1168
588	1670	1165
589	1673	1162
590	1675	1159
591	1678	1157
592	1682	1154
593	1685	1151
594	1687	1148
595	1690	1145
596	1692	1142
597	1695	1139
598	1698	1137
599	1701	1134
600	1703	1131
601	1706	1128
602	1709	1125
603	1711	1122
604	1714	1119
605	1717	1116
606	1720	1113
607	1722	1110
608	1725	1107
609	1728	1104
610	1730	1101
611	1733	1098
612	1736	1096
613	1739	1093
614	1742	1090
615	1744	1087
616	1747	1084
617	1749	1081
618	1752	1078
619	1756	1076
620	1759	1073
621	1761	1070
622	1764	1067
623	1766	1064
624	1769	1061
625	1771	1058
626	1776	1056
627	1778	1053
628	1781	1050
629	1783	1047
630	1786	1044
631	1788	1041
632	1791	1038
633	1794	1036
634	1797	1033
635	1799	1030
636	1802	1027
637	1805	1024
638	1807	1021
639	1810	1018
640	1814	1016
641	1816	1013
642	1819	1010
643	1822	1007
644	1824	1004
645	1827	1001
646	1830	998
647	1833	996
648	1836	993
649	1839	990
650	1841	987
651	1844	984
652	1846	981
653	1849	978
654	1852	975
655	1855	972
656	1857	969
657	1860	966
658	1863	964
659	1865	961
660	1868	958
661	1871	955
662	1874	952
663	1877	949
664	1879	946
665	1882	944
666	1885	941
667	1888	938
668	1891	935
669	1894	933
670	1897	930
671	1899	927
672	1901	924
673	1904	921
674	1907	918
675	1910	915
676	1913	913
677	1916	910
678	1918	907
679	1921	904
680	1924	901
681	1928	899
682	1931	896
683	1933	893
684	1936	890
685	1939	887
686	1941	884
687	1944	881
688	1948	879
689	1950	876
690	1953	873
691	1956	870
692	1958	867
693	1961	864
694	1964	861
695	1967	859
696	1970	856
697	1972	853
698	1975	850
699	1978	847
700	1980	844
701	1983	841
702	1987	839
703	1989	836
704	1992	833
705	1994	830
706	1997	827
707	1999	824
708	2002	821
709	2005	819
710	2008	816
711	2010	813
712	2014	810
713	2017	808
714	2019	805
715	2023	802
716	2026	799
717	2028	796
718	2031	793
719	2034	791
720	2036	788
721	2039	785
722	2042	782
723	2045	779
724	2048	776
725	2051	774
726	2053	771
727	2056	768
728	2059	765
729	2062	762
730	2065	759
731	2067	757
732	2070	754
733	2073	751
734	2075	748
735	2078	745
736	2082	743
737	2084	740
738	2087	737
739	2090	734
740	2092	731
741	2095	728
742	2098	725
743	2102	723
744	2105	720
745	2107	717
746	2110	714
747	2113	711
748	2115	709
749	2118	706
750	2121	703
751	2124	700
752	2127	697
753	2129	694
754	2132	691
755	2134	689
756	2138	686
757	2141	683
758	2143	680
759	2146	677
760	2148	674
761	2151	671
762	2153	669
763	2157	666
764	2160	663
765	2162	660
766	2165	657
767	2167	654
768	2170	651
769	2172	649
770	2176	646
771	2179	643
772	2181	640
773	2184	637
774	2187	635
775	2189	632
776	2192	629
777	2195	626
778	2198	623
779	2201	620
780	2203	617
781	2206	615
782	2209	612
783	2211	609
784	2215	606
785	2218	603
786	2220	601
787	2223	598
788	2225	595
789	2228	592
790	2231	589
791	2235	586
792	2237	584
793	2240	581
794	2242	578
795	2245	575
796	2248	572
797	2250	569
798	2254	567
799	2257	564
800	2259	561
801	2262	558
802	2265	555
803	2267	552
804	2270	549
805	2274	547
806	2276	544
807	2279	541
808	2281	538
809	2284	535
810	2287	532
811	2289	530
812	2294	527
813	2296	524
814	2299	521
815	2301	519
816	2304	516
817	2307	513
818	2311	510
819	2313	507
820	2316	505
821	2319	502
822	2321	499
823	2324	496
824	2327	493
825	2330	490
826	2333	488
827	2336	485
828	2338	482
829	2341	479
830	2343	476
831	2346	473
832	2350	471
833	2353	468
834	2355	465
835	2358	462
836	2360	459
837	2363	456
838	2366	454
839	2370	451
840	2372	448
841	2375	445
842	2378	442
843	2383	440
844	2385	437
845	2389	435
846	2392	432
847	2394	429
848	2397	426
849	2400	423
850	2402	420
851	2405	417
852	2409	415
853	2411	412
854	2414	409
855	2416	406
856	2419	403
857	2422	400
858	2424	398
859	2428	395
860	2430	392
861	2433	389
862	2435	386
863	2438	383
864	2440	380
865	2443	378
866	2446	375
867	2448	372
868	2452	369
869	2455	366
870	2457	363
871	2460	361
872	2462	358
873	2465	355
874	2468	352
875	2470	349
876	2473	346
877	2476	344
878	2478	341
879	2481	338
880	2485	335
881	2487	332
882	2490	329
883	2493	327
884	2496	324
885	2499	321
886	2502	318
887	2505	315
888	2507	313
889	2510	310
890	2513	307
891	2516	304
