Datetime,PJME_MW,Hour,DayOfWeek,Month,Day,Week,Year,IsWeekend,Lag_1,Lag_24,Lag_168,RollingMean_24,RollingMean_168,RollingStd_24
1998-12-24 01:00:00,27213.0,1,3,12,24,52,1998,0,28570.0,27669.0,26498.0,29475.375,30894.589285714286,2736.64632609523
1998-12-24 02:00:00,25643.0,2,3,12,24,52,1998,0,27213.0,26162.0,25147.0,29453.75,30897.541666666668,2765.8616276810285
1998-12-24 03:00:00,24907.0,3,3,12,24,52,1998,0,25643.0,25483.0,24574.0,29429.75,30899.52380952381,2804.050164688044
1998-12-24 04:00:00,24721.0,4,3,12,24,52,1998,0,24907.0,25045.0,24393.0,29416.25,30901.47619047619,2826.7661543368663
1998-12-24 05:00:00,25144.0,5,3,12,24,52,1998,0,24721.0,25030.0,24860.0,29421.0,30903.166666666668,2819.1607446805715
1998-12-24 06:00:00,26588.0,6,3,12,24,52,1998,0,25144.0,25572.0,26222.0,29463.333333333332,30905.345238095237,2765.9767150874363
1998-12-24 07:00:00,29005.0,7,3,12,24,52,1998,0,26588.0,26307.0,28702.0,29575.75,30907.14880952381,2685.7818430944344
1998-12-24 08:00:00,30902.0,8,3,12,24,52,1998,0,29005.0,27516.0,30698.0,29716.833333333332,30908.363095238095,2661.7043847662985
1998-12-24 09:00:00,32159.0,9,3,12,24,52,1998,0,30902.0,28965.0,31800.0,29849.916666666668,30910.5,2702.0223652514273
1998-12-24 10:00:00,32972.0,10,3,12,24,52,1998,0,32159.0,30487.0,32359.0,29953.458333333332,30914.14880952381,2774.1469504221122
1998-12-24 11:00:00,33144.0,11,3,12,24,52,1998,0,32972.0,31537.0,32371.0,30020.416666666668,30918.75,2832.8035723837643
1998-12-24 12:00:00,32808.0,12,3,12,24,52,1998,0,33144.0,31871.0,31902.0,30059.458333333332,30924.14285714286,2865.6832401664856
1998-12-24 13:00:00,31940.0,13,3,12,24,52,1998,0,32808.0,31652.0,31126.0,30071.458333333332,30928.988095238095,2873.2349739587576
1998-12-24 14:00:00,31439.0,14,3,12,24,52,1998,0,31940.0,30963.0,30368.0,30091.291666666668,30935.363095238095,2881.2882456828606
1998-12-24 15:00:00,31198.0,15,3,12,24,52,1998,0,31439.0,30393.0,29564.0,30124.833333333332,30945.089285714286,2889.6267197875604
1998-12-24 16:00:00,31334.0,16,3,12,24,52,1998,0,31198.0,30230.0,29098.0,30170.833333333332,30958.39880952381,2900.141820620194
1998-12-24 17:00:00,33070.0,17,3,12,24,52,1998,0,31334.0,31038.0,30308.0,30255.5,30974.839285714286,2955.6877078079515
1998-12-24 18:00:00,35286.0,18,3,12,24,52,1998,0,33070.0,32721.0,34017.0,30362.375,30982.39285714286,3091.9472661640257
1998-12-24 19:00:00,34519.0,19,3,12,24,52,1998,0,35286.0,32828.0,34195.0,30432.833333333332,30984.321428571428,3168.8857686090255
1998-12-24 20:00:00,33392.0,20,3,12,24,52,1998,0,34519.0,32670.0,32790.0,30462.916666666668,30987.904761904763,3194.371979056254
1998-12-24 21:00:00,32702.0,21,3,12,24,52,1998,0,33392.0,32526.0,31336.0,30470.25,30996.035714285714,3199.5120178199004
1998-12-24 22:00:00,32098.0,22,3,12,24,52,1998,0,32702.0,31932.0,29887.0,30477.166666666668,31009.196428571428,3202.986943825856
1998-12-24 23:00:00,31120.0,23,3,12,24,52,1998,0,32098.0,30698.0,28483.0,30494.75,31024.89285714286,3205.409357971922
1998-12-25 00:00:00,29518.0,0,4,12,25,52,1998,0,31120.0,28570.0,27008.0,30534.25,31039.833333333332,3186.444539662958
1998-12-23 01:00:00,25460.0,1,2,12,23,52,1998,0,29518.0,27213.0,27526.0,30461.208333333332,31027.535714285714,3284.4702567923614
1998-12-23 02:00:00,24363.0,2,2,12,23,52,1998,0,25460.0,25643.0,26600.0,30407.875,31014.220238095237,3375.2480013551944
1998-12-23 03:00:00,23985.0,3,2,12,23,52,1998,0,24363.0,24907.0,26241.0,30369.458333333332,31000.791666666668,3445.1046299396985
1998-12-23 04:00:00,24040.0,4,2,12,23,52,1998,0,23985.0,24721.0,26213.0,30341.083333333332,30987.85714285714,3496.0772665407794
1998-12-23 05:00:00,24610.0,5,2,12,23,52,1998,0,24040.0,25144.0,26871.0,30318.833333333332,30974.39880952381,3532.10464007026
1998-12-23 06:00:00,26468.0,6,2,12,23,52,1998,0,24610.0,26588.0,28679.0,30313.833333333332,30961.238095238095,3537.696089715518
1998-12-23 07:00:00,29544.0,7,2,12,23,52,1998,0,26468.0,29005.0,31509.0,30336.291666666668,30949.541666666668,3530.7299833858397
1998-12-23 08:00:00,32165.0,8,2,12,23,52,1998,0,29544.0,30902.0,33665.0,30388.916666666668,30940.613095238095,3548.8940704377846
1998-12-23 09:00:00,33353.0,9,2,12,23,52,1998,0,32165.0,32159.0,34625.0,30438.666666666668,30933.041666666668,3582.9919689102603
1998-12-23 10:00:00,33700.0,10,2,12,23,52,1998,0,33353.0,32972.0,34655.0,30469.0,30927.35714285714,3608.363220413771
1998-12-23 11:00:00,33610.0,11,2,12,23,52,1998,0,33700.0,33144.0,34295.0,30488.416666666668,30923.279761904763,3624.60052271632
1998-12-23 12:00:00,33144.0,12,2,12,23,52,1998,0,33610.0,32808.0,33711.0,30502.416666666668,30919.904761904763,3634.584587430655
1998-12-23 13:00:00,32450.0,13,2,12,23,52,1998,0,33144.0,31940.0,33087.0,30523.666666666668,30916.113095238095,3644.831452734219
1998-12-23 14:00:00,31950.0,14,2,12,23,52,1998,0,32450.0,31439.0,32668.0,30544.958333333332,30911.839285714286,3651.8966302715176
1998-12-23 15:00:00,31362.0,15,2,12,23,52,1998,0,31950.0,31198.0,32380.0,30551.791666666668,30905.779761904763,3653.3248701537777
1998-12-23 16:00:00,31159.0,16,2,12,23,52,1998,0,31362.0,31334.0,32484.0,30544.5,30897.89285714286,3651.870134364163
1998-12-23 17:00:00,32391.0,17,2,12,23,52,1998,0,31159.0,33070.0,34076.0,30516.208333333332,30887.863095238095,3634.040618317271
1998-12-23 18:00:00,36035.0,18,2,12,23,52,1998,0,32391.0,35286.0,36979.0,30547.416666666668,30882.244047619046,3679.7126059407005
1998-12-23 19:00:00,36649.0,19,2,12,23,52,1998,0,36035.0,34519.0,37106.0,30636.166666666668,30879.52380952381,3803.2786732852915
1998-12-23 20:00:00,36254.0,20,2,12,23,52,1998,0,36649.0,33392.0,36492.0,30755.416666666668,30878.10714285714,3935.9960886851736
1998-12-23 21:00:00,35645.0,21,2,12,23,52,1998,0,36254.0,32702.0,35468.0,30878.041666666668,30879.160714285714,4043.650164191058
