Experiment,Enhancement,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
E1,DropOut 0.3,ANN,0.8827641839204087,0.9001398601398601,0.8620412536833646,0.8806787082649151,0.953827102116188
E2,DropOut 0.5,ANN,0.8822264049475665,0.8897680763983629,0.8735601392981516,0.8815896188158961,0.9551873667147117
E3,BatchNormalization,ANN,0.8822264049475665,0.8897680763983629,0.8735601392981516,0.8815896188158961,0.9544096801586897
E4,Optimizers RMSprop,ANN,0.8822264049475665,0.8897680763983629,0.8735601392981516,0.8815896188158961,0.9543755533406866
E5,Learning Rate Rmsprop(0.0001),ANN,0.9046786770637268,0.9044943820224719,0.9057058665952317,0.9050997189131308,0.9674303626733588
E6,Learning Rate Adam(0.0001),ANN,0.8962086582414628,0.8978769148078474,0.8949906241628717,0.8964314462033808,0.9634899443378584
E7,Learning Rate Adam(0.00025),ANN,0.8881419736488303,0.8902340597255851,0.8864184302169836,0.8883221476510067,0.9565075756836299
E8,Learning Rate Rmsprop(0.00025),ANN,0.8855875235278301,0.8824309978768577,0.8907045271899277,0.886548460205306,0.9553278144773626
E9,Batch Size 32,ANN,0.9049475665501479,0.9058476394849786,0.9046343423519957,0.9052405843720681,0.9672767919923446
E10,Early Stopping,ANN,0.905216456036569,0.9007411328745368,0.9115992499330298,0.9061376647583544,0.9672536551665798
E11,LR Scheduler,ANN,0.9033342296316214,0.9016524520255863,0.9062416287168498,0.9039412157648631,0.9669734103645027
E1,Dimension Size 256,RNN,0.49919333154073675,0.5005910165484634,0.9075810340208947,0.6452718788686792,0.5001797080638707
E2,Hidden Layer,RNN,0.5021511158913686,0.5201612903225806,0.10366997053308331,0.17288362742908198,0.5255835812408063
E3,DropOut 0.5,RNN,0.5018822264049476,0.5018822264049476,1.0,0.6683376600125325,0.5
E4,DropOut 0.3,RNN,0.5001344447432106,0.5018315018315018,0.5504955799624967,0.525038323965253,0.5033711439678137
E5,Batchnormalization,RNN,0.5172089271309491,0.5145670906852687,0.671845700508974,0.5827814569536424,0.5281140269536789
E6,Recurrent Dropout,RNN,0.5002688894864211,0.5266666666666666,0.04232520760782213,0.07835358294073891,0.4986405668811523
E7,New Optimizers Rmsprop,RNN,0.5063189029308954,0.5131182795698924,0.31958210554513794,0.39385935952459555,0.5053490533603889
E8,Learning rate rmsprop 0.0001,RNN,0.5060500134444743,0.5120951209512095,0.334583444950442,0.40473104342190536,0.5097830814130673
E8,Learning rate adam 0.0001,RNN,0.5037644528098951,0.5724137931034483,0.04446825609429413,0.08252547849863286,0.5056127770228184
E9,Learning rate adam 0.0005,RNN,0.5232589405754235,0.673469387755102,0.0972408250736673,0.1699438202247191,0.538737770470397
E10,BatchSize 32,RNN,0.5212422694272654,0.6563636363636364,0.0967050629520493,0.16857342983889798,0.5348182837319556
E11,EarlyStopping,RNN,0.5228556063457919,0.6832669322709163,0.09188320385748727,0.16198347107438016,0.5369703700409919
E12,lr scheduler,RNN,0.521645603656897,0.6576576576576577,0.0977765871952853,0.17024253731343283,0.5340844848423062
E1,Embedding Dimension,LSTM,0.8628663619252487,0.8750345590268178,0.8478435574604876,0.8612244897959184,0.9304515332304468
E2,Hidden layer 128,LSTM,0.8683785963968809,0.8578482328482329,0.8842753817305117,0.8708613639361562,0.9306577401900762
E3,DropOut 0.3,LSTM,0.860446356547459,0.8644847173383825,0.8561478703455666,0.8602960969044414,0.9315783689477769
E4,DropOut 0.5,LSTM,0.8507663350363001,0.88314344142565,0.8098044468256095,0.844885410844047,0.9288287379620723
E5,recurrent dropout,LSTM,0.867437483194407,0.8510094556606185,0.8920439324939726,0.8710436829714884,0.9332521013841244
E6,Batchnormalization,LSTM,0.8471363269696155,0.9173633440514469,0.7642646664880793,0.8338448049101271,0.9326183692659084
E7,New Optimizers rmsprop,LSTM,0.8740252756117236,0.8322243346007605,0.9381194749531209,0.882004785291525,0.9335335753300702
E8,learning rate adam 0.0001,LSTM,0.8767141704759344,0.8832335329341318,0.8692740423252077,0.8761981909004996,0.944330302770671
E9,learning rate adam 0.0005,LSTM,0.8695885990857758,0.8638398735844087,0.8786498794535227,0.8711819389110226,0.9395747812937317
E10,learning rate rmsprop 0.0001,LSTM,0.8713363807475127,0.8759479956663055,0.8663273506563086,0.8711111111111111,0.9358019964911557
E11,Batch size 32,LSTM,0.8732186071524604,0.8739946380697051,0.8732922582373426,0.8736433069811068,0.9207541665265804
E12,Batch size 16,LSTM,0.8702608228018285,0.8754747693977211,0.8644521832306455,0.8699285618007818,0.9269572579680155
E13,Early stopping,LSTM,0.8699919333154074,0.8752034725990233,0.8641843021698365,0.8696589836905243,0.9356759730933176
E14,LR Schedule,LSTM,0.8726808281796182,0.8736587982832618,0.8724886150549156,0.8730733145690927,0.9234218786885613
E1,Embediing Dimension,GRU,0.872143049206776,0.8672122492080253,0.8799892847575677,0.8735540486637415,0.9364685901322162
E2,Hidden Layers,GRU,0.8682441516536703,0.8803536888643272,0.8534690597374766,0.8667029379760609,0.9339324325154827
E3,DropOut 0.3,GRU,0.8656897015326701,0.8803561491374513,0.8475756763996786,0.8636549747509212,0.9379872335333586
E4,DropOut 0.5,GRU,0.8716052702339339,0.878680479825518,0.8633806589874096,0.8709633833265775,0.9404795757862996
E5,recurrent dropout,GRU,0.8685130411400914,0.8721967035936233,0.8647200642914546,0.8684422921711057,0.9388190747221864
E6,BatchNormalization,GRU,0.8632696961548804,0.8395,0.8995446021966247,0.8684857105909738,0.9328588476487021
E7,New Optimizers Rmsprop,GRU,0.891771981715515,0.8834468308014667,0.9035628181087597,0.8933916037610913,0.9593345704304861
E8,Learning rate adam 0.0001,GRU,0.8732186071524604,0.8704195432819968,0.8781141173319046,0.8742498999866649,0.94240770485219
E9,Learning rate adam 0.0005,GRU,0.8682441516536703,0.8774335069920483,0.8572193945888026,0.8672086720867209,0.9371395580793976
E10,Learning rate rmsprop 0.0001,GRU,0.8694541543425652,0.8632298790110469,0.8791856415751407,0.871134704711347,0.9241603049433635
E11,Batch Size 32,GRU,0.868647485883302,0.8467539003522899,0.9014197696222878,0.8732321266381212,0.913353780503103
E12,Batch Size 16,GRU,0.8668997042215649,0.8652463382157124,0.8703455665684436,0.8677884615384616,0.9342835338464647
E13,Early Stopping,GRU,0.8651519225598279,0.8693181818181818,0.8607018483793196,0.8649885583524027,0.9261584229071926
E14,LR Schedule,GRU,0.8675719279376176,0.865814696485623,0.8711492097508706,0.8684737615168915,0.9184960484832183
E1,Embedding Dimension,BI_LSTM,0.8667652594783544,0.8685483870967742,0.8655237074738816,0.8670334093653562,0.9344851134409413
E2,Hidden layer,BI_LSTM,0.861925248722775,0.8483522142121525,0.8826680953656576,0.8651700144413811,0.9324204048004575
E3,DropOut 0.3,BI_LSTM,0.8648830330734069,0.8568812140240711,0.8773104741494776,0.8669755129053607,0.9317517143845622
E4,DropOut 0.5,BI_LSTM,0.8678408174240387,0.8668623265741728,0.8703455665684436,0.8686004544846946,0.9350492543254114
E5,recurrent dropout,BI_LSTM,0.8591019091153536,0.8466305189775368,0.8783819983927136,0.8622140415461478,0.9282732010846833
E6,BatchNormalization,BI_LSTM,0.8670341489647755,0.8610526315789474,0.8765068309670506,0.8687110049117217,0.9255197380622113
E7,New Optimizers Rmsprop,BI_LSTM,0.8670341489647755,0.8610526315789474,0.8765068309670506,0.8687110049117217,0.9255197380622113
E8,Learning Rate adam 0.0001,BI_LSTM,0.8736219413820919,0.8730964467005076,0.8754353067238146,0.8742643124665597,0.937514989228723
E9,Learning Rate adam 0.0005,BI_LSTM,0.8760419467598817,0.8816182459951126,0.8698098044468257,0.8756742179072277,0.9405810886093429
E10,Learning Rate Rmsprop 0.0001,BI_LSTM,0.8733530518956709,0.8774682174736272,0.8690061612643986,0.8732166890982503,0.9300122950538167
E11,Batch Size 32,BI_LSTM,0.8634041408980909,0.8785176929506826,0.8446289847307795,0.8612400983337886,0.935813131088555
E12,Batch Size 16,BI_LSTM,0.8650174778166174,0.8524928958925342,0.8840075006697027,0.8679642293529721,0.9326804048799904
