Review,Actual,Predicted,Probability
0,Negative,Positive,0.8678778
0,Negative,Positive,0.9658578
0,Negative,Positive,0.9849841
0,Negative,Positive,0.9885919
0,Negative,Positive,0.8663301
1,Positive,Negative,0.0009388507
0,Negative,Positive,0.99997485
1,Positive,Negative,0.14362244
1,Positive,Negative,0.28762016
0,Negative,Positive,0.999967
0,Negative,Positive,0.9933702
0,Negative,Positive,0.9143444
1,Positive,Negative,0.0014431777
0,Negative,Positive,0.9951568
1,Positive,Negative,0.014872322
1,Positive,Negative,0.004191459
0,Negative,Positive,0.9992129
1,Positive,Negative,0.11651178
1,Positive,Negative,0.17655545
1,Positive,Negative,0.008886152
1,Positive,Negative,0.01058068
0,Negative,Positive,0.9897115
0,Negative,Positive,0.99814355
1,Positive,Negative,0.0032424706
1,Positive,Negative,0.14116561
0,Negative,Positive,0.9999748
0,Negative,Positive,0.5299469
1,Positive,Negative,0.00024400029
0,Negative,Positive,0.9943269
0,Negative,Positive,0.9990167
1,Positive,Negative,0.1872159
1,Positive,Negative,0.21796723
1,Positive,Negative,0.038487412
1,Positive,Negative,0.010229902
1,Positive,Negative,0.000120870965
0,Negative,Positive,0.9024349
0,Negative,Positive,0.93912905
1,Positive,Negative,0.0011858526
0,Negative,Positive,0.9859832
1,Positive,Negative,0.27656215
1,Positive,Negative,0.1718318
1,Positive,Negative,0.00913314
0,Negative,Positive,0.9846137
1,Positive,Negative,0.003961824
1,Positive,Negative,0.014272432
0,Negative,Positive,0.9999908
0,Negative,Positive,0.99940807
0,Negative,Positive,0.7070946
0,Negative,Positive,0.9729694
0,Negative,Positive,0.99840593
1,Positive,Negative,5.827951e-06
1,Positive,Negative,0.016737955
0,Negative,Positive,0.999652
0,Negative,Positive,0.99811715
1,Positive,Negative,0.21589361
0,Negative,Positive,0.9960326
0,Negative,Positive,0.9920991
1,Positive,Negative,0.109691694
1,Positive,Negative,0.0053508715
0,Negative,Positive,0.99560785
0,Negative,Positive,0.93868625
1,Positive,Negative,0.00057356316
0,Negative,Positive,0.9989262
0,Negative,Positive,0.9871473
1,Positive,Negative,0.013044269
1,Positive,Negative,0.3650838
1,Positive,Negative,0.0050955205
0,Negative,Positive,0.9620757
0,Negative,Positive,0.9831644
1,Positive,Negative,0.045864925
0,Negative,Positive,0.55690265
0,Negative,Positive,0.9921279
1,Positive,Negative,0.0135734575
1,Positive,Negative,0.0046518696
0,Negative,Positive,0.87728435
0,Negative,Positive,0.9998868
1,Positive,Negative,0.13320236
0,Negative,Positive,0.72379637
0,Negative,Positive,0.8236051
0,Negative,Positive,0.96243304
1,Positive,Negative,0.014462525
0,Negative,Positive,0.9947262
1,Positive,Negative,0.005733456
1,Positive,Negative,0.06675522
1,Positive,Negative,0.09368091
0,Negative,Positive,0.777737
1,Positive,Negative,0.010496165
1,Positive,Negative,0.054469753
0,Negative,Positive,0.9765697
0,Negative,Positive,0.98971313
0,Negative,Positive,0.9974737
0,Negative,Positive,0.6788217
1,Positive,Negative,0.02910685
1,Positive,Negative,0.004987451
0,Negative,Positive,0.9987047
0,Negative,Positive,0.9814736
1,Positive,Negative,0.15999116
1,Positive,Negative,0.02988101
0,Negative,Positive,0.99999505
0,Negative,Positive,0.5884601
1,Positive,Negative,0.009470881
0,Negative,Positive,0.99865186
1,Positive,Negative,0.038249154
0,Negative,Positive,0.6181222
0,Negative,Positive,0.6860702
1,Positive,Negative,0.005344323
1,Positive,Negative,0.00091017265
1,Positive,Negative,0.11433654
1,Positive,Negative,0.00794852
0,Negative,Positive,0.7610753
0,Negative,Positive,0.6349675
1,Positive,Negative,0.09260016
1,Positive,Negative,0.034119762
1,Positive,Negative,0.48519778
0,Negative,Positive,0.9765408
0,Negative,Positive,0.9930618
0,Negative,Positive,0.9956979
0,Negative,Positive,0.9893211
1,Positive,Negative,0.001204459
1,Positive,Negative,0.004279658
1,Positive,Negative,0.4277624
1,Positive,Negative,0.048965033
0,Negative,Positive,0.7770138
0,Negative,Positive,0.9895406
0,Negative,Positive,0.76408327
1,Positive,Negative,0.286082
0,Negative,Positive,0.99946594
1,Positive,Negative,0.022819484
0,Negative,Positive,0.7222452
0,Negative,Positive,0.8611259
1,Positive,Negative,0.14774704
1,Positive,Negative,0.0014948515
0,Negative,Positive,0.91631866
1,Positive,Negative,0.0075617065
1,Positive,Negative,0.007832194
0,Negative,Positive,0.9816063
0,Negative,Positive,0.9998719
1,Positive,Negative,0.33204323
0,Negative,Positive,0.7369132
1,Positive,Negative,7.6949495e-05
0,Negative,Positive,0.99974716
1,Positive,Negative,0.14266314
1,Positive,Negative,0.42481735
0,Negative,Positive,0.8759718
1,Positive,Negative,0.04770702
1,Positive,Negative,0.023417488
0,Negative,Positive,0.9934972
0,Negative,Positive,0.9999857
1,Positive,Negative,0.34439373
0,Negative,Positive,0.9984466
0,Negative,Positive,0.8975705
0,Negative,Positive,0.9018534
1,Positive,Negative,0.23499066
1,Positive,Negative,0.27382812
1,Positive,Negative,2.4736679e-05
0,Negative,Positive,0.9998094
0,Negative,Positive,0.57464296
1,Positive,Negative,0.003531247
0,Negative,Positive,0.5854417
1,Positive,Negative,0.0019070712
0,Negative,Positive,0.53099173
1,Positive,Negative,0.0007046949
1,Positive,Negative,0.007662722
0,Negative,Positive,0.66887397
1,Positive,Negative,0.0133893015
1,Positive,Negative,0.060086794
