Review,Actual,Predicted,Probability
0,Negative,Positive,0.99999434
0,Negative,Positive,0.9807749
0,Negative,Positive,0.99770135
0,Negative,Positive,0.9999763
1,Positive,Negative,0.002746379
0,Negative,Positive,0.9941611
1,Positive,Negative,0.0043939166
0,Negative,Positive,0.6183336
1,Positive,Negative,0.0025852039
0,Negative,Positive,0.99690926
0,Negative,Positive,0.9986544
0,Negative,Positive,0.9999102
1,Positive,Negative,0.0019923467
0,Negative,Positive,0.9981416
0,Negative,Positive,0.99990195
0,Negative,Positive,0.9999554
1,Positive,Negative,0.00649006
1,Positive,Negative,0.09878617
0,Negative,Positive,0.9345162
0,Negative,Positive,0.9960059
0,Negative,Positive,0.99997675
1,Positive,Negative,0.3581533
1,Positive,Negative,0.0015433186
0,Negative,Positive,0.9999601
0,Negative,Positive,0.9991616
1,Positive,Negative,0.067246854
0,Negative,Positive,0.9999312
0,Negative,Positive,0.99182385
0,Negative,Positive,0.5153167
1,Positive,Negative,0.0017896706
1,Positive,Negative,0.007230525
1,Positive,Negative,0.016814062
0,Negative,Positive,0.99985725
0,Negative,Positive,0.5472627
0,Negative,Positive,0.99963206
0,Negative,Positive,0.7700353
1,Positive,Negative,0.0030697372
1,Positive,Negative,0.0072487756
0,Negative,Positive,0.99839616
1,Positive,Negative,0.00039572798
1,Positive,Negative,0.001267642
0,Negative,Positive,0.75653255
1,Positive,Negative,0.00062288914
0,Negative,Positive,0.5060307
0,Negative,Positive,0.7179209
0,Negative,Positive,0.9984148
1,Positive,Negative,0.032445215
1,Positive,Negative,0.0016258921
0,Negative,Positive,0.9996216
0,Negative,Positive,0.99993485
0,Negative,Positive,0.99919534
1,Positive,Negative,0.0016256701
0,Negative,Positive,0.9501556
0,Negative,Positive,0.99965805
0,Negative,Positive,0.89210385
0,Negative,Positive,0.9521017
1,Positive,Negative,0.054358307
0,Negative,Positive,0.99966747
1,Positive,Negative,0.2145364
1,Positive,Negative,0.00037895824
0,Negative,Positive,0.96820354
1,Positive,Negative,0.016792573
1,Positive,Negative,0.3538896
0,Negative,Positive,0.98708993
0,Negative,Positive,0.9999911
1,Positive,Negative,0.09698353
0,Negative,Positive,0.627222
1,Positive,Negative,0.0005969028
0,Negative,Positive,0.9975165
0,Negative,Positive,0.99999195
0,Negative,Positive,0.7261786
1,Positive,Negative,0.1665773
1,Positive,Negative,0.0009697445
0,Negative,Positive,0.99643266
1,Positive,Negative,0.0016681134
1,Positive,Negative,0.29127192
0,Negative,Positive,0.99993116
1,Positive,Negative,0.080730855
0,Negative,Positive,0.99996024
1,Positive,Negative,0.029000824
1,Positive,Negative,0.001325226
0,Negative,Positive,0.9392765
0,Negative,Positive,0.9999544
0,Negative,Positive,0.9999527
0,Negative,Positive,0.99596226
1,Positive,Negative,0.13249968
1,Positive,Negative,0.049680248
1,Positive,Negative,0.00021040847
0,Negative,Positive,0.9888008
1,Positive,Negative,0.20277548
1,Positive,Negative,0.00068474124
1,Positive,Negative,0.00019662982
1,Positive,Negative,0.40481544
1,Positive,Negative,0.46370834
1,Positive,Negative,0.0019457786
1,Positive,Negative,0.0018564865
1,Positive,Negative,0.45470113
1,Positive,Negative,0.00059544167
0,Negative,Positive,0.9999921
0,Negative,Positive,0.9482769
1,Positive,Negative,0.0068237004
0,Negative,Positive,0.5936163
0,Negative,Positive,0.77266425
0,Negative,Positive,0.8733102
0,Negative,Positive,0.9996186
1,Positive,Negative,0.4345964
1,Positive,Negative,0.30307943
0,Negative,Positive,0.94973
1,Positive,Negative,0.3813441
0,Negative,Positive,0.9964845
0,Negative,Positive,0.98462045
0,Negative,Positive,0.99997133
0,Negative,Positive,0.94521415
1,Positive,Negative,0.0019988664
0,Negative,Positive,0.9976585
1,Positive,Negative,0.089084916
1,Positive,Negative,0.0013596031
0,Negative,Positive,0.9999157
1,Positive,Negative,0.0076988805
0,Negative,Positive,0.89466184
1,Positive,Negative,0.0029789298
0,Negative,Positive,0.9993374
0,Negative,Positive,0.9999629
1,Positive,Negative,0.044461325
1,Positive,Negative,0.111417726
1,Positive,Negative,0.00048589255
1,Positive,Negative,0.10123841
0,Negative,Positive,0.9999798
0,Negative,Positive,0.9999962
1,Positive,Negative,0.0019012694
0,Negative,Positive,0.9999835
1,Positive,Negative,0.0009379645
1,Positive,Negative,0.0014266132
0,Negative,Positive,0.99968535
0,Negative,Positive,0.9427138
1,Positive,Negative,0.0030852724
1,Positive,Negative,0.012007891
0,Negative,Positive,0.57803166
1,Positive,Negative,1.0329875e-06
0,Negative,Positive,0.99716544
1,Positive,Negative,0.0006815684
1,Positive,Negative,0.025311869
1,Positive,Negative,6.245215e-05
0,Negative,Positive,0.7990711
1,Positive,Negative,0.0012604524
1,Positive,Negative,0.00013367548
0,Negative,Positive,0.9900057
0,Negative,Positive,0.99572885
1,Positive,Negative,0.4417655
1,Positive,Negative,0.0025416838
0,Negative,Positive,0.99973786
0,Negative,Positive,0.9999739
1,Positive,Negative,0.00047193607
0,Negative,Positive,0.99999624
0,Negative,Positive,0.9999953
1,Positive,Negative,0.1371979
1,Positive,Negative,0.02687944
1,Positive,Negative,0.0884686
0,Negative,Positive,0.9974677
1,Positive,Negative,0.0011814843
0,Negative,Positive,0.9999907
0,Negative,Positive,0.9383174
1,Positive,Negative,0.008407372
1,Positive,Negative,0.024613732
1,Positive,Negative,0.16403867
0,Negative,Positive,0.9998884
1,Positive,Negative,0.0005385049
0,Negative,Positive,0.9427707
0,Negative,Positive,0.9984057
0,Negative,Positive,0.9994731
0,Negative,Positive,0.5747016
1,Positive,Negative,0.076136574
0,Negative,Positive,0.97795355
1,Positive,Negative,0.020781582
1,Positive,Negative,0.002150533
1,Positive,Negative,0.20126823
0,Negative,Positive,0.8757628
1,Positive,Negative,0.036795508
0,Negative,Positive,0.9649778
0,Negative,Positive,0.99834317
0,Negative,Positive,0.9989932
0,Negative,Positive,0.96564084
1,Positive,Negative,0.01720863
1,Positive,Negative,0.162188
1,Positive,Negative,0.005360656
0,Negative,Positive,0.9819554
1,Positive,Negative,0.005332672
0,Negative,Positive,0.96345305
0,Negative,Positive,0.9999777
1,Positive,Negative,0.030412411
0,Negative,Positive,0.99514306
0,Negative,Positive,0.74130076
1,Positive,Negative,0.05694032
1,Positive,Negative,7.812132e-05
0,Negative,Positive,0.9660166
1,Positive,Negative,0.022511547
1,Positive,Negative,0.008115766
0,Negative,Positive,0.9998508
1,Positive,Negative,0.06948718
0,Negative,Positive,0.9992866
1,Positive,Negative,0.00050811656
0,Negative,Positive,0.799386
0,Negative,Positive,0.97361016
0,Negative,Positive,0.9312686
0,Negative,Positive,0.7192088
1,Positive,Negative,0.027148446
0,Negative,Positive,0.9929671
1,Positive,Negative,0.00028866588
1,Positive,Negative,0.47456008
0,Negative,Positive,0.97769195
0,Negative,Positive,0.99703866
0,Negative,Positive,0.9998212
1,Positive,Negative,0.12727678
0,Negative,Positive,0.52769727
1,Positive,Negative,0.0038683433
1,Positive,Negative,0.0024946097
1,Positive,Negative,0.000426404
1,Positive,Negative,0.48351574
1,Positive,Negative,0.23026662
0,Negative,Positive,0.99827325
1,Positive,Negative,0.00057890173
1,Positive,Negative,0.0026009353
1,Positive,Negative,0.01633841
0,Negative,Positive,0.9999508
0,Negative,Positive,0.99991894
1,Positive,Negative,0.0012306593
0,Negative,Positive,0.9987967
0,Negative,Positive,0.9515178
0,Negative,Positive,0.6581369
1,Positive,Negative,0.001078474
0,Negative,Positive,0.99735236
1,Positive,Negative,0.0010696774
1,Positive,Negative,0.231453
1,Positive,Negative,0.060746726
1,Positive,Negative,0.038240787
1,Positive,Negative,0.0010349115
0,Negative,Positive,0.99845403
0,Negative,Positive,0.97785354
0,Negative,Positive,0.9984397
0,Negative,Positive,0.99892884
0,Negative,Positive,0.94288635
0,Negative,Positive,0.9443762
1,Positive,Negative,0.0065390803
1,Positive,Negative,0.00081644783
1,Positive,Negative,0.03351214
0,Negative,Positive,0.9999903
0,Negative,Positive,0.8567118
1,Positive,Negative,0.032116197
0,Negative,Positive,0.9988041
0,Negative,Positive,0.9999507
1,Positive,Negative,0.267403
0,Negative,Positive,0.6475369
0,Negative,Positive,0.9967977
0,Negative,Positive,0.9991534
0,Negative,Positive,0.8898559
0,Negative,Positive,0.9999768
1,Positive,Negative,0.35289735
1,Positive,Negative,0.017384695
0,Negative,Positive,0.99937505
0,Negative,Positive,0.5484403
0,Negative,Positive,0.9542872
0,Negative,Positive,0.9985696
0,Negative,Positive,0.99995023
0,Negative,Positive,0.9962328
1,Positive,Negative,0.0007251682
0,Negative,Positive,0.97287565
0,Negative,Positive,0.9995083
0,Negative,Positive,0.9999921
0,Negative,Positive,0.94895786
0,Negative,Positive,0.9996236
0,Negative,Positive,0.99967057
0,Negative,Positive,0.9787238
1,Positive,Negative,0.02747259
0,Negative,Positive,0.99971986
0,Negative,Positive,0.99196917
0,Negative,Positive,0.7059034
0,Negative,Positive,0.94597375
1,Positive,Negative,0.283026
0,Negative,Positive,0.9074737
0,Negative,Positive,0.84728104
1,Positive,Negative,0.0018293358
1,Positive,Negative,0.49851343
0,Negative,Positive,0.9998705
1,Positive,Negative,0.049607683
0,Negative,Positive,0.9925935
1,Positive,Negative,0.001419474
0,Negative,Positive,0.9974385
1,Positive,Negative,0.0006480621
1,Positive,Negative,0.44561026
1,Positive,Negative,0.17956884
1,Positive,Negative,0.0035986158
1,Positive,Negative,0.0028639836
0,Negative,Positive,0.9992908
0,Negative,Positive,0.9999543
0,Negative,Positive,0.99979055
0,Negative,Positive,0.9999144
1,Positive,Negative,0.13609803
1,Positive,Negative,0.19105148
0,Negative,Positive,0.9999743
1,Positive,Negative,0.004621733
0,Negative,Positive,0.99884796
0,Negative,Positive,0.8063947
1,Positive,Negative,0.0011375855
0,Negative,Positive,0.9974979
1,Positive,Negative,0.05596484
1,Positive,Negative,0.0025234974
1,Positive,Negative,0.014063633
1,Positive,Negative,0.0026944429
1,Positive,Negative,0.003241964
1,Positive,Negative,0.0015053981
0,Negative,Positive,0.9999929
1,Positive,Negative,0.0018873276
1,Positive,Negative,0.000993857
0,Negative,Positive,0.95901805
0,Negative,Positive,0.99965775
1,Positive,Negative,0.0024328246
1,Positive,Negative,0.21707691
0,Negative,Positive,0.99832815
0,Negative,Positive,0.50218797
0,Negative,Positive,0.99960285
1,Positive,Negative,0.070473075
1,Positive,Negative,0.15160471
0,Negative,Positive,0.99989754
0,Negative,Positive,0.9819213
0,Negative,Positive,0.99822104
1,Positive,Negative,9.61103e-05
0,Negative,Positive,0.999177
0,Negative,Positive,0.5190063
1,Positive,Negative,0.025852054
0,Negative,Positive,0.8528912
0,Negative,Positive,0.99493134
1,Positive,Negative,0.057797663
1,Positive,Negative,0.026834117
1,Positive,Negative,0.13412079
1,Positive,Negative,0.0033652366
0,Negative,Positive,0.79664123
1,Positive,Negative,0.00048861257
1,Positive,Negative,0.00054415554
1,Positive,Negative,0.024736479
0,Negative,Positive,0.9999026
0,Negative,Positive,0.9998287
1,Positive,Negative,0.003374963
0,Negative,Positive,0.99869394
0,Negative,Positive,0.99999136
0,Negative,Positive,0.99989086
0,Negative,Positive,0.9999735
0,Negative,Positive,0.99992496
1,Positive,Negative,0.27894112
1,Positive,Negative,0.00054950133
0,Negative,Positive,0.99999213
0,Negative,Positive,0.9999604
0,Negative,Positive,0.9999982
1,Positive,Negative,0.20128
1,Positive,Negative,0.4652898
1,Positive,Negative,0.0006002931
0,Negative,Positive,0.9987088
1,Positive,Negative,0.00086416426
0,Negative,Positive,0.9999864
1,Positive,Negative,0.002012837
1,Positive,Negative,0.05166011
0,Negative,Positive,0.9850158
0,Negative,Positive,0.9997188
1,Positive,Negative,0.10908426
0,Negative,Positive,0.9991664
1,Positive,Negative,0.0007146747
0,Negative,Positive,0.9998404
1,Positive,Negative,0.38161036
0,Negative,Positive,0.9337168
1,Positive,Negative,0.04268942
0,Negative,Positive,0.9942183
0,Negative,Positive,0.52542037
0,Negative,Positive,0.9999777
1,Positive,Negative,0.28327978
1,Positive,Negative,0.47215718
0,Negative,Positive,0.9985971
0,Negative,Positive,0.99999845
0,Negative,Positive,0.95690614
0,Negative,Positive,0.9281587
1,Positive,Negative,0.00076161127
0,Negative,Positive,0.9999902
1,Positive,Negative,0.15866074
0,Negative,Positive,0.9999244
0,Negative,Positive,0.99817765
1,Positive,Negative,0.44193876
0,Negative,Positive,0.99625736
1,Positive,Negative,0.001603094
0,Negative,Positive,0.52830285
0,Negative,Positive,0.99979186
1,Positive,Negative,0.00042452494
1,Positive,Negative,0.0011170714
0,Negative,Positive,0.9999558
1,Positive,Negative,0.009414875
