Review,Actual,Predicted,Probability
0,Negative,Positive,0.6353617
0,Negative,Positive,0.9975377
1,Positive,Negative,0.012118976
0,Negative,Positive,0.61414576
0,Negative,Positive,0.9347279
0,Negative,Positive,0.9947831
1,Positive,Negative,0.005962818
0,Negative,Positive,0.7562527
0,Negative,Positive,0.7191103
0,Negative,Positive,0.9388879
1,Positive,Negative,0.10932173
1,Positive,Negative,0.033214148
1,Positive,Negative,0.48473224
0,Negative,Positive,0.9285068
1,Positive,Negative,0.45936376
0,Negative,Positive,0.9990686
0,Negative,Positive,0.98909736
0,Negative,Positive,0.5515786
0,Negative,Positive,0.99680984
1,Positive,Negative,0.040164024
1,Positive,Negative,0.13720997
1,Positive,Negative,0.060469355
1,Positive,Negative,0.011832593
1,Positive,Negative,0.0030732066
0,Negative,Positive,0.9970091
1,Positive,Negative,0.003377156
0,Negative,Positive,0.5874838
0,Negative,Positive,0.99691087
1,Positive,Negative,0.008972061
1,Positive,Negative,0.3992914
1,Positive,Negative,0.012474263
0,Negative,Positive,0.9587216
0,Negative,Positive,0.99683386
0,Negative,Positive,0.9712844
1,Positive,Negative,0.012184387
1,Positive,Negative,0.0038119492
1,Positive,Negative,0.0044059493
0,Negative,Positive,0.9199722
1,Positive,Negative,0.317395
1,Positive,Negative,0.015940525
1,Positive,Negative,0.00552836
0,Negative,Positive,0.98375976
1,Positive,Negative,0.43110996
0,Negative,Positive,0.7057542
1,Positive,Negative,0.0073611704
1,Positive,Negative,0.00089253346
1,Positive,Negative,0.004610955
0,Negative,Positive,0.89575964
1,Positive,Negative,0.003300796
1,Positive,Negative,0.0039860485
1,Positive,Negative,0.08597235
0,Negative,Positive,0.7847012
1,Positive,Negative,0.012267697
1,Positive,Negative,0.03386417
1,Positive,Negative,0.0078135105
0,Negative,Positive,0.9969061
0,Negative,Positive,0.92450655
0,Negative,Positive,0.7137361
1,Positive,Negative,0.008047893
0,Negative,Positive,0.9878625
1,Positive,Negative,0.0042973673
0,Negative,Positive,0.99058414
1,Positive,Negative,0.036923423
0,Negative,Positive,0.9897044
0,Negative,Positive,0.99682796
1,Positive,Negative,0.40624252
0,Negative,Positive,0.9879238
1,Positive,Negative,0.0032106352
0,Negative,Positive,0.9959096
1,Positive,Negative,0.0030681454
1,Positive,Negative,0.46192715
1,Positive,Negative,0.013774865
1,Positive,Negative,0.013709095
0,Negative,Positive,0.9997326
0,Negative,Positive,0.99989694
1,Positive,Negative,0.0031456677
0,Negative,Positive,0.9554562
0,Negative,Positive,0.9996756
1,Positive,Negative,0.0066218497
1,Positive,Negative,0.0031598355
0,Negative,Positive,0.9501626
0,Negative,Positive,0.9986651
0,Negative,Positive,0.9969796
1,Positive,Negative,0.0068006683
1,Positive,Negative,0.0024441527
0,Negative,Positive,0.5059527
1,Positive,Negative,0.2922287
1,Positive,Negative,0.0051691816
0,Negative,Positive,0.60339034
1,Positive,Negative,0.015931018
0,Negative,Positive,0.9809973
1,Positive,Negative,0.18851739
1,Positive,Negative,0.2872417
1,Positive,Negative,0.0075027347
1,Positive,Negative,0.11881162
0,Negative,Positive,0.99609834
1,Positive,Negative,0.24798171
1,Positive,Negative,0.039090067
0,Negative,Positive,0.99940675
